Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2021,9,48161,,48161
2021,10,47698,,47698
2021,11,49447,,49447
2021,12,44680,,44680
2022,1,28177,,28177
2022,2,34923,,34923
2022,3,46207,,46207
2022,4,49173,,49173
2022,5,51568,,51568
2022,6,58214,,58214
2022,7,59353,,59353
2022,8,59949,80,60029
